Geneid	HSC_20d_IL1_3	HSC_20d_IL1_4	HSC_20d_ctrl_3	HSC_20d_ctrl_4	HSC_20d_ctrl_1_E061316	HSC_20d_ctrl_2_E061316	HSC_20d_IL1_1_E061316	HSC_20d_IL1_2_E061316
Arhgef26	130	75	161	79	128	102	155	103
Arhgef28	749	941	613	423	390	501	662	655
Arhgef3	1968	1974	2449	1277	2525	2795	2369	2388
Arhgef33	7	9	30	4	13	8	0	8
Arhgef37	0	0	0	0	1	0	0	0
Arhgef38	0	0	0	0	0	0	0	0
Arhgef39	2541	2618	1868	1931	1357	1377	2037	1846
Arhgef4	359	476	329	334	351	271	302	402
Arhgef40	1791	2662	2147	1717	1644	1613	1810	1927
Arhgef5	1162	1160	1195	695	1359	1302	1008	1039
Arhgef6	5312	5912	7881	2639	6194	7796	7468	8329
Arhgef7	256	260	392	182	233	271	364	210
Arhgef9	140	198	305	149	168	225	259	155
Arid1a	3092	2920	3391	3007	2247	2330	2868	2470
Arid1b	6631	6822	7602	4310	7516	7397	6513	7601
Arid2	3338	3422	3728	2265	3185	3505	3973	3510
Arid3a	648	649	804	477	628	659	630	519
Arid3b	762	684	850	514	584	630	612	601
Arid3c	3	8	0	6	0	0	0	0
Arid4a	4239	3950	3863	3355	2553	2595	3229	2943
Arid4b	2742	2530	2930	2094	2050	1857	2511	2438
Arid5a	2571	2812	1552	1416	1147	1354	2264	2137
Arid5b	778	802	521	497	379	276	642	430
Arih1	3485	4403	4410	2555	3843	4257	4659	4984
Arih2	2497	2973	2830	1852	2163	2437	2799	3398
Arl1	1199	1185	1724	1093	1586	1560	1832	1878
Arl10	717	672	931	566	534	544	553	450
Arl11	163	261	181	140	118	135	272	315
Arl13a	1	0	1	0	0	0	0	4
Arl13b	427	457	460	375	467	459	470	478
Arl14	0	0	0	0	0	0	0	0
Arl14ep	607	778	1029	549	884	973	894	862
Arl14epl	0	0	0	0	0	0	0	2
Arl15	688	807	1056	514	703	835	903	872
Arl16	418	522	549	562	426	378	529	554
Arl2	1212	1339	1630	1410	1099	1252	1567	1866
Arl2bp	2010	2280	3808	2456	2786	3048	3440	3793
Arl3	533	488	780	704	478	527	708	658
Arl4a	1486	1734	1854	1518	1368	1608	1985	2066
Arl4aos	7	0	1	0	3	3	0	1
Arl4c	89	76	52	69	40	37	36	57
Arl4d	37	50	52	22	16	31	47	44
Arl5a	1501	1377	1980	835	1991	2179	2358	2362
Arl5b	258	362	436	225	450	433	523	301
Arl5c	44	79	21	22	24	16	61	42
Arl6	334	426	546	421	314	410	624	603
Arl6ip1	15027	14436	17231	12871	11541	13688	18164	18059
Arl6ip4	2059	1934	2741	2435	1894	1985	2448	2608
Arl6ip5	2870	3057	3435	2859	2631	2979	3972	4176
Arl6ip6	552	531	913	576	611	698	1003	913
Arl8a	920	1023	1189	765	783	772	992	1026
Arl8b	2956	3521	3569	2601	3452	3890	4626	4423
Arl9	16	4	4	17	7	4	1	0
Armc1	1515	1604	2383	1418	1505	1719	2641	2085
Armc10	1432	1762	2191	1520	1781	1969	2143	2064
Armc12	0	0	0	0	0	0	0	0
Armc2	62	171	60	28	52	94	110	83
Armc3	276	204	345	285	196	260	246	214
Armc4	0	0	0	0	0	0	0	0
Armc5	1555	1872	2003	1720	1430	1979	1853	1935
Armc6	413	577	559	561	534	660	567	645
Armc7	695	889	885	691	696	733	713	1116
Armc8	921	933	1755	978	1160	1139	1412	1612
Armc9	504	479	628	513	577	615	474	522
Armcx1	1234	1424	1733	1225	1213	1399	1653	1324
Armcx2	1007	1155	1458	1008	1108	1378	1364	1183
Armcx3	519	605	503	332	481	558	619	573
Armcx4	39	37	24	24	20	4	38	32
Armcx5	364	334	475	263	283	288	306	351
Armcx6	311	405	401	324	275	296	376	462
Armt1	894	980	911	623	822	706	1228	1094
Arnt	1729	1813	1739	1079	1543	2102	2162	2038
Arnt2	0	0	0	0	0	0	0	0
Arntl	785	844	1581	885	958	986	913	1079
Arntl2	12	7	10	2	5	0	12	5
Arpc1a	2034	2418	3064	2255	2229	2408	2923	2928
Arpc1b	14419	15346	19189	18253	15080	15583	17702	19947
Arpc2	13601	15681	18952	15491	13325	14741	19908	20200
Arpc3	4776	5456	6528	6072	4302	4579	6982	7244
Arpc4	5838	6331	9167	7416	6331	6964	8417	8472
Arpc5	6966	8038	9937	7352	7065	8103	10392	10852
Arpc5l	1714	1904	2620	2621	1872	2125	2675	2957
Arpin	28	49	125	131	118	137	63	127
Arpp19	2591	2603	3675	2867	3036	3224	3927	3785
Arpp21	3	0	1	0	0	3	0	0
Arr3	0	3	0	1	0	1	0	6
Arrb1	2003	2506	2091	1711	2252	2750	2586	2604
Arrb2	13	23	9	6	6	10	10	10
Arrdc1	5134	5893	5843	5375	3368	3493	4314	4265
Arrdc2	0	5	2	1	2	3	2	4
Arrdc3	1340	1695	1630	699	1501	1795	2662	2549
Arrdc4	3289	4552	4014	3076	3683	4291	4083	4356
Arrdc5	0	2	0	0	0	0	0	0
Arsa	1114	1543	1268	961	897	1050	1237	1365
Arsb	817	832	1288	699	995	1081	1262	1142
Arsg	152	106	94	121	176	144	221	187
Arsi	1	14	0	8	7	5	5	0
Arsj	0	0	0	0	0	0	0	0
Arsk	890	742	1031	542	940	1118	1061	1108
Art1	10	5	4	33	8	4	8	13
Art2a-ps	0	1	2	0	0	0	0	0
Art2b	16	53	134	68	85	83	40	75
Art3	59	17	65	58	45	18	26	37
Art4	2686	3627	3809	2994	3921	4569	4055	4165
Art5	76	143	54	60	59	40	132	70
Artn	0	0	0	13	0	0	0	0
Arv1	369	474	554	404	547	425	476	464
Arvcf	8	3	7	1	1	1	6	6
Arx	0	18	0	5	2	2	36	15
Arxes1	0	3	9	6	5	10	4	0
Arxes2	96	87	232	172	213	161	242	193
As3mt	2123	2589	3147	2109	2174	2486	3164	2886
Asah1	959	1098	1357	594	1090	1015	1209	1287
Asah2	116	146	108	116	84	72	133	90
Asap1	3727	3999	3964	1977	3325	3520	4304	4414
Asap2	346	409	530	310	386	296	467	447
Asap3	36	7	37	63	49	27	6	20
Asb1	519	504	493	223	379	512	289	542
Asb10	2	0	0	0	6	6	0	0
Asb11	0	0	0	0	0	0	0	0
Asb12	0	0	0	0	0	0	5	0
Asb13	948	1185	1485	1224	1122	1222	996	1028
Asb14	1	4	10	7	0	1	0	1
Asb15	0	0	1	0	0	0	0	0
Asb16	0	0	2	1	4	2	2	2
Asb17	0	0	6	0	0	0	0	0
Asb17os	0	0	0	0	0	0	1	0
Asb18	0	0	0	0	0	0	0	0
Asb2	5	2	4	2	7	0	0	3
Asb3	977	1050	1225	652	1021	1182	1445	1308
Asb4	82	175	46	58	39	58	287	177
Asb5	7	5	16	9	7	0	15	0
Asb6	1310	1372	1480	1548	957	1009	1227	1250
Asb7	491	527	552	447	409	480	547	579
Asb8	1419	1791	2100	1442	1493	1731	2061	2167
Asb9	0	0	0	0	0	0	0	0
Ascc1	1260	1365	1787	1556	1274	1599	1539	1896
Ascc2	2277	2242	2859	2167	2251	2552	2071	2705
Ascc3	1765	2139	1814	1228	2234	2605	2625	2231
Ascl1	0	0	0	0	0	0	0	0
Ascl2	31	53	78	29	45	45	37	22
Ascl3	0	1	4	5	0	2	0	0
Ascl4	0	0	0	0	0	0	6	0
Ascl5	0	0	0	0	0	0	0	0
Asf1a	729	775	998	932	751	849	1080	987
Asf1b	1704	1718	2068	1867	1817	2003	2639	3257
Asgr1	0	0	0	0	0	0	0	0
Asgr2	0	0	0	0	0	0	0	0
Ash1l	4117	3478	4339	3489	3542	2806	3251	2274
Ash2l	2785	3026	4318	2894	3109	3547	4459	4696
Asic1	37	50	52	26	41	43	26	49
Asic2	0	4	0	0	0	0	0	0
Asic3	4	7	4	1	5	2	9	2
Asic4	0	0	0	0	0	5	2	0
Asic5	0	0	0	0	0	0	0	4
Asl	1390	1591	1605	1469	1035	1210	1392	1528
Asmt	0	0	0	0	0	0	0	0
Asna1	793	794	1053	1060	786	782	1126	1045
Asns	862	907	1672	1261	1229	1498	1219	1417
Asnsd1	2432	2481	3007	1850	2245	2675	3100	3297
Aspa	17	20	44	23	27	37	36	29
Aspdh	0	2	0	0	0	0	0	5
Aspg	0	0	0	0	6	3	0	0
Asph	3040	2784	2533	1475	2308	3288	4060	4416
Asphd1	0	0	0	4	0	0	2	0
Asphd2	0	0	25	7	0	24	0	0
Aspm	1696	1547	1074	829	1170	1150	2036	1521
Aspn	5	1	3	6	2	0	2	0
Asprv1	0	5	0	0	0	6	0	0
Aspscr1	3531	3786	4010	3604	2648	2859	3236	3606
Asrgl1	1785	1915	2200	1691	1561	1912	2323	2528
Ass1	299	348	439	350	384	401	501	461
Aste1	643	495	822	577	647	800	765	784
Astl	2	4	0	0	1	0	15	8
Astn1	0	0	0	0	0	0	0	0
Astn2	0	0	0	0	0	0	0	0
Astx	0	0	0	0	0	0	0	0
Astx6	0	0	0	0	0	0	0	0
Asun	484	629	660	385	534	655	752	743
Asxl1	2935	3387	3401	2808	2954	3143	3344	2962
Asxl2	1630	1767	1861	1115	1593	1907	1942	2143
Asxl3	0	3	0	0	0	0	1	0
Asz1	0	0	0	0	0	0	0	0
Atad1	1908	1831	3183	1265	2179	2377	2654	2785
Atad2	3563	3558	4427	2061	4272	5640	5852	6307
Atad2b	1293	1232	1172	975	1240	1505	1334	1367
Atad3a	3431	3462	5889	4842	4316	4039	3449	4150
Atad3aos	54	71	71	60	26	32	54	52
Atad5	1321	1071	1882	1167	1451	1452	1303	1702
Atat1	142	153	167	114	108	105	137	119
Atcay	0	0	0	0	0	0	0	0
Atcayos	0	0	0	0	0	0	0	0
Ate1	1566	1897	2395	1752	2018	2078	2287	2256
Atf1	1351	1265	1765	1329	1350	1693	1839	1859
Atf2	2577	2628	3445	1480	2937	3492	3662	3619
Atf3	137	222	259	128	62	36	6	28
Atf4	4447	4236	6567	5337	4031	4106	3676	3961
Atf5	42	26	55	44	44	41	41	34
Atf6	902	1243	1287	714	1147	1238	1186	1451
Atf6b	0	0	0	0	0	0	0	0
Atf7	1518	1438	1935	945	1439	1544	1607	1388
Atf7ip	3788	4588	4622	2921	4180	5617	5270	5978
Atf7ip2	25	13	0	4	7	3	18	7
Atg10	383	433	608	374	432	482	561	586
Atg101	1614	1539	1682	1609	1233	1493	2053	1838
Atg12	1673	1806	1824	1330	1642	1768	2552	2323
Atg13	1806	2451	2322	1583	2046	2404	2520	2859
Atg14	1577	2004	1641	1023	1669	1708	1714	2068
Atg16l1	1586	1354	1607	972	1364	1358	1550	1540
Atg16l2	1379	1807	1493	1507	1084	1136	1059	1029
Atg2a	13	15	10	5	6	9	14	6
Atg2b	1535	1889	1870	1054	1882	2616	1885	1608
Atg3	1684	1768	2394	1779	1800	1944	2192	2401
Atg4a	345	354	386	275	334	309	523	455
Atg4a-ps	3	0	1	1	0	1	1	1
Atg4b	2173	2759	2717	2066	2079	2439	2784	2593
Atg4c	470	444	678	219	657	446	617	507
Atg4d	937	1109	1102	1028	853	880	1184	1091
Atg5	1394	1542	1832	1380	1464	1495	1929	1956
Atg7	1731	1730	2424	1569	1902	2456	1922	2195
Atg9a	1870	2667	2194	1478	1548	1955	2015	2423
Atg9b	40	47	133	58	97	60	21	46
Athl1	1536	1865	1576	1493	1226	1458	1823	1586
Atic	666	752	1626	1316	1062	1216	1021	1005
Atl1	56	79	74	30	69	22	24	57
Atl2	1267	1518	1779	940	1590	1556	2008	2077
Atl3	735	652	777	429	761	847	753	916
Atm	1047	1127	1479	1151	1309	1075	1568	1177
Atmin	1680	2042	2364	1623	2012	2466	2260	2511
Atn1	311	291	399	421	283	271	296	280
Atoh1	0	3	0	11	3	6	1	0
Atoh7	1	1	0	15	0	6	0	1
Atoh8	0	18	0	8	4	1	13	8
Atox1	1084	1178	1402	1549	975	1107	1478	1498
Atp10a	3251	4039	1911	1033	1614	2303	3440	3822
Atp10b	0	0	0	0	0	0	0	0
Atp10d	1895	2702	2361	1365	1919	2276	2225	1799
Atp11a	1124	1275	1456	679	1137	1449	1320	1468
Atp11b	7206	7134	8054	3756	7691	8851	9764	9946
Atp11c	427	390	518	220	437	423	523	516
Atp12a	0	0	0	0	0	0	0	0
Atp13a1	5303	5677	6802	5674	4967	4930	4754	4960
Atp13a2	10466	11643	11333	9903	9180	10593	9777	10694
Atp13a3	574	515	856	494	712	869	888	770
Atp13a4	0	0	0	0	0	0	0	0
Atp13a5	0	0	0	0	0	0	0	0
Atp1a1	5824	6840	8226	6240	7087	7495	7957	8326
Atp1a2	0	0	1	0	0	3	0	0
Atp1a3	24	6	1	0	0	2	0	0
Atp1a4	0	0	0	0	0	0	0	0
Atp1b1	22	40	57	45	51	36	43	23
Atp1b2	16	8	0	0	7	26	18	4
Atp1b3	3962	4232	6233	4852	4741	5270	6285	6336
Atp1b4	0	0	0	0	0	0	0	0
Atp2a1	62	33	68	71	51	15	16	8
Atp2a2	5925	5630	7602	3852	6697	6975	6804	7843
Atp2a3	13	20	10	13	6	8	7	13
Atp2b1	1888	1772	2597	1687	1946	1974	2110	1791
Atp2b2	15	0	1	6	0	10	0	0
Atp2b3	0	0	0	0	3	0	0	0
Atp2b4	2010	1862	2125	1995	1362	1245	1858	1409
Atp2c1	2095	2133	2674	1353	2569	2912	2787	2797
Atp2c2	26	35	14	12	7	20	32	15
Atp4a	6	18	1	0	3	0	25	11
Atp4b	0	0	0	0	0	0	0	0
Atp5a1	21637	26925	34340	23938	26233	31826	37268	37384
Atp5b	27673	34596	48578	38411	36600	44662	48295	54416
Atp5c1	6165	7886	10124	9033	7449	8254	10788	11924
Atp5c1-ps	0	0	2	0	0	0	1	0
Atp5d	3754	4094	6507	6036	4248	4834	5360	5675
Atp5e	1455	1474	2453	2775	1874	2014	2174	2862
Atp5f1	4325	5040	6473	6472	4766	5431	7527	8115
Atp5g1	1821	1868	3496	3401	2412	2756	2792	3146
Atp5g2	651	698	1048	1041	659	707	962	995
Atp5g3	4063	4139	7003	6611	4256	5600	6152	7008
Atp5h	3928	4047	5666	6301	3794	4358	5669	5870
Atp5j	2201	2169	3306	2828	2234	2596	2919	3316
Atp5j2	1419	1452	2115	2408	1585	1760	2179	2379
Atp5k	670	639	1099	1150	690	814	1039	1161
Atp5k-ps1	12	8	25	24	11	13	14	14
Atp5k-ps2	0	0	0	1	0	1	0	0
Atp5l	78	103	127	139	113	116	137	187
Atp5l-ps1	0	0	1	0	0	0	1	0
Atp5l-ps2	3	0	3	3	2	3	3	2
Atp5l2-ps	1	1	3	10	2	2	5	3
Atp5o	3174	3325	4615	5011	3460	3994	4731	5342
Atp5s	1180	1070	1220	939	788	732	980	1025
Atp5sl	1329	1381	1562	1326	1077	1252	1415	1135
Atp6ap1	4070	4874	5609	4386	3953	4304	5267	5305
Atp6ap1l	0	0	0	0	0	0	0	0
Atp6ap2	2738	2666	3202	1829	2428	2621	3916	3593
Atp6v0a1	690	954	1106	556	990	1037	1193	963
Atp6v0a2	2243	3106	3270	1705	3004	3244	3467	3688
Atp6v0a4	0	0	0	0	0	0	0	0
Atp6v0b	3791	4538	3975	4078	2713	2970	3492	4112
Atp6v0c	1433	1649	1920	1714	1348	1510	1651	1789
Atp6v0c-ps1	1	1	1	0	0	1	3	0
Atp6v0c-ps2	40	20	38	35	23	7	46	34
Atp6v0d1	1810	2328	2186	1954	1563	1984	2659	2295
Atp6v0d2	0	0	0	0	0	13	5	6
Atp6v0e	2925	3169	4021	3703	2384	3057	3888	3951
Atp6v0e2	4	5	10	18	3	7	0	0
Atp6v1a	2710	3521	3794	1986	2652	3427	4538	4063
Atp6v1b1	0	0	0	1	0	0	0	0
Atp6v1b2	4540	5177	5488	3655	4091	5390	5999	6454
Atp6v1c1	2196	2505	2400	1788	2202	2574	3066	3475
Atp6v1c2	2	7	3	6	8	0	3	0
Atp6v1d	2225	2506	2786	2136	1952	2212	3103	3086
Atp6v1e1	1	3	1	4	3	5	2	0
Atp6v1e2	0	0	0	0	0	0	0	0
Atp6v1f	2844	3061	4158	3757	2588	3206	3753	4117
Atp6v1g1	2416	2678	3037	2659	2417	2874	3084	3402
Atp6v1g2	8	19	34	16	7	15	12	15
Atp6v1g3	0	0	0	0	0	0	0	0
Atp6v1h	2138	2765	3513	2515	2769	3120	3555	3456
Atp7a	1078	1208	1059	524	982	1112	1318	872
Atp7b	36	53	155	60	162	163	67	88
Atp8a1	4113	4690	4427	2799	4554	5480	5287	5657
Atp8a2	31	34	84	63	11	21	9	41
Atp8b1	6	16	0	5	0	12	2	0
Atp8b2	1895	2507	2481	1492	2208	2969	2045	2440
Atp8b3	0	0	0	0	0	0	0	0
Atp8b4	291	34	33	12	14	49	23	2
Atp8b5	159	154	251	153	116	146	140	184
Atp9a	147	130	189	169	124	309	79	269
Atp9b	2151	2264	2460	2004	2262	2409	2539	2671
Atpaf1	315	367	473	343	345	362	453	456
Atpaf2	1236	1293	1588	1438	1191	1495	1827	1789
Atpif1	5812	6402	7499	7818	5324	6336	8690	9602
Atr	1559	1196	1487	577	1711	1744	1546	1433
Atraid	1670	2144	2042	1914	1414	1631	2179	2133
Atrip	1481	1657	1835	1575	1376	1595	1417	1872
Atrn	652	596	655	287	840	787	887	663
Atrnl1	205	178	242	151	208	302	358	296
Atrx	9185	7948	10128	7547	6829	6770	8070	6740
Atxn1	371	363	241	328	178	188	279	237
Atxn10	4888	5420	7326	5946	5402	6727	8026	8192
Atxn1l	242	212	286	136	139	212	201	162
Atxn2	1460	1466	2093	1062	1853	1544	1757	1473
Atxn2l	4124	4235	4579	3452	3133	2848	3022	2800
Atxn3	1533	1658	1719	855	1496	1703	2128	1990
Atxn7	1072	1192	1056	876	1176	871	1115	890
Atxn7l1	2769	2831	2588	1594	1954	2140	2986	2764
Atxn7l1os2	37	22	15	5	15	1	17	7
Atxn7l2	557	589	787	756	551	651	711	733
Atxn7l3	537	675	603	643	519	537	701	590
Atxn7l3b	3407	3204	4277	3721	3697	3640	3989	3853
Auh	1316	1359	1347	1116	1012	1181	1538	1677
Aunip	341	361	476	546	434	461	677	530
Aup1	5547	5596	6384	6129	4659	4632	4918	5032
Aurka	2180	2010	1773	1480	1435	1713	2822	2736
Aurkaip1	2137	1992	2561	2495	1748	2035	2334	2729
Aurkb	3115	2832	2990	2472	2287	2748	3711	4057
Aurkc	0	2	1	2	0	0	0	0
Auts2	0	0	0	0	1	0	0	1
Aven	1226	1358	1971	1589	1454	1525	1299	1474
Avil	19	6	10	25	16	9	28	0
Avl9	1497	2296	2126	786	1857	2619	2747	2844
Avp	0	0	0	0	0	0	0	0
Avpi1	450	553	547	458	392	454	508	576
Avpr1a	0	0	0	0	0	0	0	0
Avpr1b	0	0	0	0	0	0	0	0
Avpr2	16	17	40	13	4	3	3	0
Awat1	0	0	0	0	0	0	0	0
Awat2	32	27	25	90	55	54	66	63
Axdnd1	13	15	0	3	14	1	26	17
Axin1	3454	3864	4075	2982	3500	4131	4043	4352
Axin2	17	11	8	2	20	5	18	19
Axl	388	520	606	381	479	466	488	555
Aym1	0	0	0	0	0	0	0	0
Azgp1	0	0	0	0	0	0	0	0
Azi2	1749	2115	2353	1556	2012	2373	2387	2796
Azin1	2165	2538	3625	1934	2793	3055	3265	3095
Azin2	17	44	35	36	28	21	25	50
B020004C17Rik	0	0	0	0	0	0	0	0
B020004J07Rik	0	0	0	0	0	0	0	0
B020011L13Rik	0	0	0	0	0	0	0	0
B020014A21Rik	0	0	0	0	0	0	0	0
B020018J22Rik	0	0	0	0	0	0	0	0
B020031M17Rik	0	0	0	0	0	0	0	0
B130006D01Rik	38	13	21	26	22	6	3	19
B130016D09Rik	0	0	0	0	0	0	0	0
B130024G19Rik	0	0	0	0	0	0	0	0
B130034C11Rik	64	42	114	43	73	93	67	82
B130055M24Rik	371	498	646	413	558	419	382	251
B230110C06Rik	0	0	0	0	0	0	0	0
B230110G15Rik	0	0	0	0	0	0	0	0
B230112J18Rik	7	14	5	13	2	9	11	32
B230118H07Rik	727	605	1037	834	707	802	872	880
B230118I11Rik	16	7	3	0	2	7	0	0
B230119M05Rik	0	1	0	0	0	0	0	0
B230206H07Rik	2	5	4	2	10	3	6	5
B230206L02Rik	8	13	2	3	7	4	9	14
B230208H11Rik	33	57	27	31	11	18	38	37
B230209E15Rik	0	0	0	0	0	0	0	0
B230214G05Rik	0	0	0	0	0	0	0	0
B230216N24Rik	8	12	24	0	20	15	12	1
B230217C12Rik	74	77	79	100	72	85	147	107
B230217O12Rik	62	82	145	62	124	84	116	72
B230219D22Rik	2141	2394	2771	1550	2522	3152	3564	3552
B230307C23Rik	234	226	391	378	220	269	319	306
B230311B06Rik	1	0	0	0	0	0	0	0
B230312C02Rik	0	5	12	0	0	0	0	0
B230317F23Rik	20	18	23	6	39	9	22	0
B230319C09Rik	0	0	0	1	2	4	0	0
B230323A14Rik	0	0	0	0	0	0	0	0
B230344G16Rik	0	0	5	0	0	0	0	0
B230354K17Rik	816	1049	1185	701	1048	1158	1263	1130
B230359F08Rik	11	10	14	16	7	8	24	16
B230369F24Rik	0	0	0	0	0	0	0	0
B230398E01Rik	0	1	0	4	2	1	0	1
B2m	41594	39420	73101	61395	41547	48229	53477	55356
B330016D10Rik	263	252	268	252	174	165	218	246
B3galnt1	11	25	66	53	26	23	87	25
B3galnt2	1739	2482	3202	1770	2522	2998	2905	3184
B3galt1	156	204	386	79	148	322	171	166
B3galt2	3	6	1	25	6	3	8	0
B3galt4	0	0	0	0	0	0	0	0
B3galt5	0	7	0	0	0	0	0	0
B3galt6	565	608	1108	755	652	925	814	727
B3gat1	0	0	0	0	0	0	0	0
B3gat2	1	13	10	5	9	0	5	3
B3gat3	881	944	972	993	792	845	1007	1113
B3glct	700	772	829	550	786	826	986	839
B3gnt2	2321	2661	2717	1831	2274	2265	3362	3543
B3gnt3	264	231	323	187	150	396	434	247
B3gnt4	25	19	26	25	11	21	15	7
B3gnt5	1462	1541	937	477	806	1230	2555	2311
B3gnt6	0	16	0	14	2	17	0	10
B3gnt7	393	391	232	94	120	83	449	372
B3gnt8	460	647	434	376	262	501	524	679
B3gnt9	19	48	51	32	64	18	35	85
B3gntl1	773	746	881	490	724	659	673	523
B430010I23Rik	8	21	11	3	8	2	3	1
B430212C06Rik	81	94	97	148	66	57	54	78
B430306N03Rik	64	34	22	58	33	15	14	10
B430319F04Rik	20	35	22	10	15	16	7	14
B430319G15Rik	24	21	35	23	44	58	63	80
B4galnt1	2994	2906	2622	1897	1637	1934	3069	3062
B4galnt2	8	11	19	8	16	14	14	36
B4galnt3	14	0	0	0	0	0	6	0
B4galnt4	379	304	360	255	332	343	328	281
B4galt1	1739	1901	2090	1235	1699	2201	2960	2616
B4galt2	42	41	68	61	78	111	77	60
B4galt3	964	1211	1292	885	732	858	1035	1164
B4galt4	1298	1406	2291	1322	1581	1881	1789	2146
B4galt5	358	373	712	623	316	351	445	365
B4galt6	442	541	522	377	423	535	570	419
B4galt7	576	765	874	739	640	733	814	867
B4gat1	600	721	682	661	532	576	816	926
B630019K06Rik	334	289	254	367	235	261	305	248
B830017H08Rik	0	0	0	0	0	0	0	0
B930018H19Rik	1	9	0	0	0	6	0	0
B930025P03Rik	0	0	0	0	0	0	0	0
B930041F14Rik	292	221	874	690	521	464	317	435
B930059L03Rik	14	35	33	8	22	21	20	28
B930092H01Rik	0	1	0	0	0	0	0	0
B930095G15Rik	9	3	6	8	5	4	4	10
B9d1	51	54	107	75	69	100	91	138
B9d1os	0	0	0	0	0	0	0	0
B9d2	1534	1718	1532	1562	1198	1390	1992	2052
BB014433	0	0	0	0	0	0	0	0
BB019430	0	0	0	0	0	0	0	0
BB031773	0	0	0	0	0	0	0	0
BB094273	2	4	7	1	5	5	3	0
BB114814	0	0	0	0	0	0	0	0
BB123696	0	0	0	0	0	0	0	0
BB218582	0	13	3	9	4	0	7	0
BB283400	0	0	0	0	0	0	0	0
BB287469	0	0	0	0	0	0	0	0
BB557941	7	9	19	12	4	16	20	5
BC002059	250	222	304	195	208	221	257	310
BC002163	21	17	33	44	27	41	34	51
BC003331	1001	1163	1397	1031	979	1176	1249	1319
BC003965	1232	1240	1858	1569	1244	1331	1404	1391
BC004004	2207	2343	3143	2429	2381	2614	3247	3358
BC005537	840	815	1061	1222	592	513	1007	554
BC005561	1328	966	1231	1214	1171	810	1003	883
BC005624	2109	2094	2552	1999	1893	2120	2383	2605
BC006965	0	0	0	0	0	0	0	0
BC016548	0	0	0	0	0	0	0	0
BC016579	109	196	150	88	100	135	148	175
BC017158	1901	1806	2222	1664	1556	1738	1811	1487
BC017643	2492	3345	2740	2503	2305	2474	3372	4076
BC018473	1	6	0	0	0	0	0	0
BC020402	50	45	68	54	34	61	30	55
BC021614	0	0	0	0	0	0	0	0
BC021767	8	11	8	27	5	17	6	0
BC021891	0	0	0	0	0	0	0	0
BC022687	43	163	85	77	60	72	93	56
BC023105	1	28	20	0	5	0	14	0
BC023829	720	962	906	738	669	768	905	1210
BC024063	1	3	0	0	16	0	5	0
BC024139	0	0	0	0	0	0	0	0
BC024386	0	6	1	0	0	6	0	0
BC024978	84	43	53	67	61	47	44	19
BC025446	0	0	0	0	0	0	0	0
BC025920	38	46	89	69	50	58	111	103
BC026585	1431	1687	1830	1581	1341	1310	1645	1565
BC027072	0	0	0	0	0	0	0	0
BC028528	699	751	773	766	640	768	885	987
BC029214	1030	1188	1242	1301	978	822	803	1096
BC029722	483	515	728	566	548	562	610	597
BC030336	247	240	335	215	239	255	320	245
BC030499	9	6	49	1	2	3	5	16
BC030500	0	0	0	0	0	0	0	0
BC030867	460	580	608	569	389	604	732	745
BC030870	0	0	0	0	0	1	0	0
BC031181	1319	1266	1816	1651	1224	1234	1598	1744
BC031361	13	8	12	12	18	0	16	12
BC034090	79	113	206	85	138	141	121	84
BC035044	420	390	41	32	26	26	476	398
BC037032	125	116	111	133	73	41	88	63
BC037034	805	920	822	764	681	656	687	729
BC037156	0	0	0	0	0	0	0	0
BC037704	144	162	154	147	190	148	183	186
BC039771	8	7	5	0	12	9	7	6
BC039966	0	0	0	0	0	0	0	0
BC040756	3	0	0	0	0	0	0	0
BC042761	0	0	0	0	0	0	0	0
BC046251	0	0	0	0	0	0	0	0
BC048403	264	237	472	258	286	294	337	369
BC048502	0	0	0	0	0	0	0	0
BC048507	0	0	0	0	0	0	1	0
BC048546	2	0	3	0	0	0	0	0
BC048559	0	3	0	0	3	0	0	0
BC048562	0	0	0	0	0	0	0	0
BC048602	0	0	0	0	0	0	0	0
BC048609	13	9	27	14	20	1	8	13
BC048644	0	0	0	0	0	0	0	0
BC048671	0	0	0	0	0	0	0	0
BC048679	0	0	0	0	0	0	0	0
BC049352	4	2	0	9	16	0	0	0
BC049702	0	0	0	0	0	0	0	0
BC049715	49	54	72	32	39	51	17	39
BC049730	0	0	0	0	0	0	0	0
BC049762	24	19	29	20	9	16	12	11
BC051019	1	4	0	5	2	1	3	4
BC051076	0	0	0	0	0	0	0	0
BC051142	24	19	4	6	9	6	7	6
BC051226	0	0	0	0	0	0	0	0
BC051408	0	0	0	0	0	0	0	0
BC051537	0	0	0	0	0	0	0	0
BC051628	10	2	3	0	2	9	16	5
BC051665	0	0	0	0	0	0	0	0
BC052040	525	511	642	421	468	582	590	625
BC052688	0	0	0	0	0	0	0	0
BC053393	0	0	0	0	0	0	0	0
BC055324	665	873	653	598	873	1063	1274	1222
BC055402	0	0	0	0	0	0	0	0
BC061195	0	0	0	0	0	0	0	0
BC061212	0	0	0	0	0	0	0	0
BC061237	0	0	0	0	0	0	0	0
BC064078	258	230	345	215	200	225	275	373
BC065397	146	198	204	112	201	155	172	104
BC065403	0	0	0	0	0	0	0	0
BC067074	153	172	187	98	203	227	173	211
BC068281	335	277	366	329	325	349	342	271
BC080695	0	0	0	0	0	0	0	0
